 Velocidad(m/s)            Velocidad/c          Masa(kg)
 176000000.00000            0.58667             1.23483
 177000000.00000            0.59000             1.23854
 178000000.00000            0.59333             1.24230
 179000000.00000            0.59667             1.24612
 180000000.00000            0.60000             1.25000
 181000000.00000            0.60333             1.25394
 182000000.00000            0.60667             1.25793
 183000000.00000            0.61000             1.26199
 184000000.00000            0.61333             1.26610
 185000000.00000            0.61667             1.27029
 186000000.00000            0.62000             1.27453
 187000000.00000            0.62333             1.27884
 188000000.00000            0.62667             1.28322
 189000000.00000            0.63000             1.28767
 190000000.00000            0.63333             1.29219
 191000000.00000            0.63667             1.29678
 192000000.00000            0.64000             1.30145
 193000000.00000            0.64333             1.30619
 194000000.00000            0.64667             1.31101
 195000000.00000            0.65000             1.31590
 196000000.00000            0.65333             1.32088
 197000000.00000            0.65667             1.32594
 198000000.00000            0.66000             1.33109
 199000000.00000            0.66333             1.33632
 200000000.00000            0.66667             1.34164
 201000000.00000            0.67000             1.34705
 202000000.00000            0.67333             1.35256
 203000000.00000            0.67667             1.35816
 204000000.00000            0.68000             1.36386
 205000000.00000            0.68333             1.36966
 206000000.00000            0.68667             1.37557
 207000000.00000            0.69000             1.38158
 208000000.00000            0.69333             1.38770
 209000000.00000            0.69667             1.39393
 210000000.00000            0.70000             1.40028
 211000000.00000            0.70333             1.40675
 212000000.00000            0.70667             1.41333
 213000000.00000            0.71000             1.42005
 214000000.00000            0.71333             1.42689
 215000000.00000            0.71667             1.43386
 216000000.00000            0.72000             1.44098
 217000000.00000            0.72333             1.44823
 218000000.00000            0.72667             1.45562
 219000000.00000            0.73000             1.46317
 220000000.00000            0.73333             1.47087
 221000000.00000            0.73667             1.47873
 222000000.00000            0.74000             1.48675
 223000000.00000            0.74333             1.49494
 224000000.00000            0.74667             1.50331
 225000000.00000            0.75000             1.51186
 226000000.00000            0.75333             1.52059
 227000000.00000            0.75667             1.52952
 228000000.00000            0.76000             1.53864
 229000000.00000            0.76333             1.54798
 230000000.00000            0.76667             1.55752
 231000000.00000            0.77000             1.56729
 232000000.00000            0.77333             1.57729
 233000000.00000            0.77667             1.58752
 234000000.00000            0.78000             1.59801
 235000000.00000            0.78333             1.60875
 236000000.00000            0.78667             1.61975
 237000000.00000            0.79000             1.63104
 238000000.00000            0.79333             1.64261
 239000000.00000            0.79667             1.65448
 240000000.00000            0.80000             1.66667
 241000000.00000            0.80333             1.67918
 242000000.00000            0.80667             1.69203
 243000000.00000            0.81000             1.70523
 244000000.00000            0.81333             1.71881
 245000000.00000            0.81667             1.73277
 246000000.00000            0.82000             1.74714
 247000000.00000            0.82333             1.76193
 248000000.00000            0.82667             1.77717
 249000000.00000            0.83000             1.79287
 250000000.00000            0.83333             1.80907
 251000000.00000            0.83667             1.82578
 252000000.00000            0.84000             1.84302
 253000000.00000            0.84333             1.86084
 254000000.00000            0.84667             1.87926
 255000000.00000            0.85000             1.89832
 256000000.00000            0.85333             1.91804
 257000000.00000            0.85667             1.93847
 258000000.00000            0.86000             1.95965
 259000000.00000            0.86333             1.98163
 260000000.00000            0.86667             2.00446
 261000000.00000            0.87000             2.02818
 262000000.00000            0.87333             2.05287
 263000000.00000            0.87667             2.07858
 264000000.00000            0.88000             2.10538
 265000000.00000            0.88333             2.13335
 266000000.00000            0.88667             2.16259
 267000000.00000            0.89000             2.19317
 268000000.00000            0.89333             2.22522
 269000000.00000            0.89667             2.25883
 270000000.00000            0.90000             2.29416
 271000000.00000            0.90333             2.33133
 272000000.00000            0.90667             2.37052
 273000000.00000            0.91000             2.41192
 274000000.00000            0.91333             2.45572
 275000000.00000            0.91667             2.50217
 276000000.00000            0.92000             2.55155
 277000000.00000            0.92333             2.60417
 278000000.00000            0.92667             2.66039
 279000000.00000            0.93000             2.72065
 280000000.00000            0.93333             2.78543
 281000000.00000            0.93667             2.85533
 282000000.00000            0.94000             2.93105
 283000000.00000            0.94333             3.01344
 284000000.00000            0.94667             3.10352
 285000000.00000            0.95000             3.20256
 286000000.00000            0.95333             3.31214
 287000000.00000            0.95667             3.43424
 288000000.00000            0.96000             3.57143
 289000000.00000            0.96333             3.72707
 290000000.00000            0.96667             3.90567
 291000000.00000            0.97000             4.11345
 292000000.00000            0.97333             4.35929
 293000000.00000            0.97667             4.65634
 294000000.00000            0.98000             5.02519
 295000000.00000            0.98333             5.50019
 296000000.00000            0.98667             6.14424
 297000000.00000            0.99000             7.08881
 298000000.00000            0.99333             8.67472
 299000000.00000            0.99667            12.25767
